question|first_chunk|first_question|chunks|questions|decision
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|352ed0ca-873d-4918-9ea1-685f8ff24685|00e8d565-e112-48b5-9d56-f146ac02cd68|[6.899774209455433, 6.867678716792831, 6.686212936318091, 6.544793587323545, 3.556204831963165, 3.467285342935877, 3.458925250282811]|[7.109816924443345, 3.556204831963165, 3.467285342935877, 3.4582835615842558, 3.437774108343303, 3.233471482139333]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Как вставить тесты и практические задания в обучающий курс?|816176dd-8035-4812-bcdc-27528aad8b6a|7fa573e7-e9d7-488b-8620-e44f5e703820|[8.893104097210678, 8.782453825245877, 8.5183914310024, 8.393185754109929, 5.030089151988017, 3.9536283564139354, 3.801039863393605]|[10.267321138509287, 5.030089151988017, 4.891943799500242, 4.842553655767766, 4.668798028872597, 4.617680669900497]|{'show_chunks': 4, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Подскажите, как пересдать экзамен, если есть неверные ответы?|d780eb80-c2ad-487e-bd3e-58012b91f7b7|05dab6b4-15b6-4471-b999-0c9f190352b5|[7.518110336283401, 7.512698644994357, 7.377043626026486, 7.305073221424386, 7.25524939103687, 3.226954891686731]|[5.1923366591363225, 5.150923935277326, 4.563113669622802, 4.453275024149688, 4.223127372206229, 4.198591811887891, 4.131121593567579, 4.038747354473393, 3.8652325917597907, 3.7514013630266447, 3.6986966764958535, 3.66080923637096, 3.6584714646388656]|{'show_chunks': 2, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
Менеджеры могут и писать курс и проходить его потом?|6727190c-5616-4d6f-8911-d9ca09839807|d3326b1a-9420-4ac2-9588-b3572b249377|[7.42423364469781, 7.315029516754965, 7.24286816458207, 4.760071185938153, 4.251180275203176, 3.4100632053795255, 3.3435375315576294, 3.3332318760706157]|[4.760071185938153, 4.251180275203176, 4.1149490086582174, 4.063317869334661, 3.8583000792945543]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Подскажите, пожалуйста, как перенести статью из папки в папку|5b008c01-b230-4229-a063-0df647a84d84|f7628b70-0241-45e1-9be0-3950519e93dd|[6.999277043202854, 6.115856959081422, 3.648795404103727, 3.4647630575143884, 2.854391822630849, 2.8023971319938448]|[7.229201733923983, 3.648795404103727, 3.575108597559871, 3.3610251906366093, 3.292683338494951, 3.2679952421157488]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|adaefacb-490c-423b-9dfa-11175e47fb38|8b397e17-0ef6-49e1-94ce-5d10c01b3af3|[8.114689561007673, 7.20890642578067, 7.069359559519782, 6.837365487003813, 4.047830959814208, 3.7653480225724962, 3.484822823021178]|[7.505400602365846, 4.740519718381095, 3.7653480225724962, 3.700307410268094, 3.3906349390963753]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
новости в компании каждый сотрудник может публиковать?|1e3837f6-2312-4c33-9280-007794b846c3|fb83e419-fba4-4ed4-824f-9ff45d74c812|[7.654151288839477, 7.549901370738075, 6.979259155051457, 6.789651955285505, 3.9208492688085346, 3.1431910519222175]|[8.58797680810301, 8.529100950055746, 4.018706855134094, 3.9208492688085346, 3.4914185919132152]|{'show_chunks': 2, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Здравствуйте есть api на бронирование?|49c102ef-7d23-44f6-9094-c65de73fcea1|c09a66db-3bdc-4d75-9ca6-556e93ac8b97|[6.890709419913738, 3.4259240503020543, 2.787722878291384, 2.62917470333036]|[7.921534520816365, 7.495168042144309, 7.379956990760877, 7.221315388331485, 3.1920528667317485]|{'show_chunks': 0, 'show_questions': 4, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|5f00f7c5-3f2d-4e8f-8552-f4d8bffed666|a99da018-3afa-48ee-af84-f8188468e466|[9.206224850378533, 9.023958213382677, 8.54378117162193, 8.280034156939603, 8.025876187576024, 4.340756793454356, 4.3127238496445015]|[10.035940521203283, 4.853627773895951, 4.400854243155018, 4.277202602235222, 4.213564731081364, 3.849810007426685]|{'show_chunks': 5, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Работает ли Платрум в Азербайджане?|232f2242-0093-4cc5-954a-b87f332e9c76|cc232e84-4e69-4213-ac02-e421276d2071|[6.79750158577109, 6.650284737082005, 6.596879702242811, 6.311262051162572, 2.9910928018407366, 2.889762085576299]|[7.9990771430247385, 7.600589807242125, 3.9592521105159184, 3.8241614966577484, 3.4648807660185423]|{'show_chunks': 0, 'show_questions': 2, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
в БП есть опция отмены создания БП?|1b69c0ad-9164-4615-90f8-1d7cf20922d4|c107dccf-afd5-4528-945f-743e422437d7|[6.082610940764196, 3.333597800255148, 3.3027914202942372, 2.691306959442188, 2.6139777062995395, 2.6079917276568545, 2.6042689156713283]|[3.6835155087904186, 3.4029807999873434, 3.333597800255148, 3.3027914202942372]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|2487842b-b73c-449d-82e8-b1a1b7d742db|d7811109-e36e-45ce-91e6-daa4783f251c|[5.3333684325149555, 5.321852143651164, 2.7364348254271005, 2.7239330898813283, 2.646258180431885, 2.6368144824428246, 2.617450024618722, 2.599256764979444]|[2.8498436105390708, 2.740691557898181, 2.7364348254271005, 2.7239330898813283]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|060fe14b-2bad-4f9a-b0ab-acce8d38d84d|5b98caf9-bfee-4600-a185-7492b18f6fa0|[8.210522440001183, 8.183601131416456, 7.773914406323529, 4.999271364909109, 4.022793216895946, 3.9536143811018865]|[5.137594631027034, 4.868201178282769, 4.702094334675671, 4.458097130234907, 4.373062210616132, 4.085976588680892, 3.9117349371465475, 3.7195285036766923]|{'show_chunks': 3, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
Как создать виджет в дашбоорд?|e7dc1ff9-405c-4a15-82d3-8c636e2b012e|d42eb310-3b28-4e45-996c-74c00513c71c|[12.631576235856706, 11.395127349497779, 10.309519444793684, 8.296726445679743, 8.274327780464592, 4.577951187886226]|[17.406447226404417, 14.458556104820179, 7.613280117748614, 6.58170981416138, 4.982698657752155, 4.455847191666555, 4.373083298123042, 4.172935440841312]|{'show_chunks': 2, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
работает ли Platrum в Китае?|352ed0ca-873d-4918-9ea1-685f8ff24685|cc232e84-4e69-4213-ac02-e421276d2071|[6.387972388510736, 6.387486042197873, 6.148565271979706, 6.134334183195249, 2.934176958831283, 2.8105519395942653, 2.6816306668338568]|[7.451869810866906, 3.782386933404515, 3.6528418785298205, 3.5399936910980125, 3.499400852385254]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|64d86acd-2cab-4504-9a61-08c6fb78d535|959b6da4-3036-45cd-b54a-885986063660|[8.33182420299065, 7.303902169866516, 5.255184521884443, 4.73272213351989, 4.637118694006069, 3.32657682956148, 3.1887130476497108, 3.1885636624544857]|[5.300739225123228, 5.255184521884443, 4.73272213351989, 4.637118694006069, 4.1839568133034]|{'show_chunks': 1, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
Где могу посмотреть удаленные статьи на платрум?|d11dab22-adee-4892-b064-415d24c5c3ee|56ba3953-eef6-4c43-81b8-39d6d9db75ec|[7.104867616690303, 4.4608465515264415, 4.333490011462537, 4.162810775429833, 3.0419507107705464, 2.9634781674823176, 2.9442811142425858, 2.9046866620642193]|[4.4608465515264415, 4.333490011462537, 4.27195560401134, 4.162810775429833]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|cd26512e-2b67-4cc0-aade-c4565d6c4381|55f20974-b338-49ef-8fdd-cfb58b8bba07|[7.376720788850413, 7.367265528450907, 6.7469622707165335, 6.510472488787787, 6.479008176163827, 2.7386497146916127, 2.688822307145553]|[8.757795039331791, 4.134527008510949, 3.8908624467845545, 3.860675520923881, 3.8506631216938016]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Подскажите, пожалусйта, как удалить демо-данные по метрикам|b7aa1a22-d2be-48e7-8000-701a5d18bdf7|51e8a085-6ca6-4c29-87aa-80efa3b66c73|[7.002972147426959, 6.887266631758516, 6.709496376264312, 3.8786614409329565, 3.6550354943667602, 3.6269854446842658, 3.2614460420557245]|[7.142559103407631, 3.8786614409329565, 3.8320651120625357, 3.6550354943667602, 3.4000505025735643]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
мы можем перенести влю базу знаний на другой аккаунт?|83dda021-5022-412d-ac58-62869599e38d|3bdb6214-8412-472a-8034-96401b7beb8a|[7.567703920368751, 6.8888364303477925, 6.853604674872034, 3.7600151949542893, 3.6718285063464453, 3.430546788624644, 3.2570775050994922]|[8.195469468764365, 3.7600151949542893, 3.6718285063464453, 3.66182878022424, 3.52995945343457, 3.5027499479615436]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|c0794c76-fa4f-4572-8f5c-2d7c980d0ef5|e569e7e2-3f84-415c-bb4d-bee926f0abbf|[8.475355709755345, 8.474988573567247, 8.21512323860511, 8.149909852385118, 7.675354202338559, 7.367415871888527]|[9.648266359343118, 5.464809322075304, 4.7595101032968055, 4.688610424233854, 4.47734704924091, 3.9820318378061486, 3.8835851485393746]|{'show_chunks': 5, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|d4e24fd9-1738-478f-a8a2-3a0f1d752cac|7c91b102-e0e5-4562-9212-6acced4163f6|[8.23536304788542, 7.780940764473541, 7.513570104897252, 7.482214207321475, 7.4364753764884615, 7.385440943922566, 4.447449489346485, 3.935501025147638]|[4.361203156158216, 4.2234138801690655, 4.090770186015852, 4.086216922302597, 3.8140637727259192, 3.562524180557791]|{'show_chunks': 4, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
орг структуру внутри статьи нарисовать можно?|5199fd2f-d92f-44a5-b185-7d365ea7847e|fd6fcfd7-3135-456f-a8f2-4f812631b705|[6.981760952096896, 6.935534227676843, 6.884982805255637, 6.483917054124678, 3.170134269339469, 3.1201144926122564, 2.9991892979463226]|[7.5240553577385025, 3.988787222921406, 3.975514538982976, 3.744967785254075, 3.529504230638151, 3.2998889102186864]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
как сохранить работу над ошибками?|b8c8eb2b-933c-4bb8-8601-4500b51c7b8d|3983d450-3841-4237-b3b2-a50d2eb41916|[7.908543455488913, 7.127778890946432, 6.908206498563576, 4.470443877093554, 4.315180290911476, 3.516281428836406]|[9.073513059806428, 4.470443877093554, 4.342068386502519, 4.288623152924371, 3.9842437146912615, 3.6881959245047424]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|a7c5401a-1f63-41df-9fde-6bbfcf7432b0|4c090d71-3fd5-4895-b5db-e4c95ae7752d|[6.997390200464597, 6.803296302089297, 4.23062123920026, 3.8692885946593574, 3.167482268218122, 3.1421941117535033]|[8.308051361107164, 7.693849539645263, 4.23062123920026, 3.8692885946593574, 3.6631024093261733, 3.5595200979178974]|{'show_chunks': 0, 'show_questions': 2, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
почему я не вижу доступных курсов в разделе Академия?|a340b6f1-7097-4f82-8be6-fce64b1efe60|36e56f13-465d-4a19-877a-979105da839a|[7.634880658500895, 7.328250020265127, 7.3121246554868495, 7.2035545624804085, 3.6108789429517745, 3.4786071112413213, 3.4190386871973457]|[4.28486297209154, 4.280250357108142, 4.156621112152504, 4.111165442934575, 3.9100096426396944]|{'show_chunks': 1, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
можно ли секции в оргсхеме менять местами?|5b008c01-b230-4229-a063-0df647a84d84|b62fe376-e357-4e2d-bf6b-be9cced9efa1|[6.251433209349243, 6.115828361524061, 5.971088562073298, 3.7355445726867678, 3.4751467136393352, 3.4614993874316404, 2.773469920463587]|[6.8390363378599295, 3.7355445726867678, 3.4751467136393352, 3.4614993874316404, 3.322264738733688, 3.2009933502542234, 3.171398688471414]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
можно как-то, чтоб метрики не удалять, а в архив отправлять?|f93d244e-4752-4c11-a4bf-1bdc3d56b572|cc3ef8a3-c54a-4c09-8fc5-5027e55f6680|[9.361566476566583, 8.772894462270841, 8.624019541020035, 3.9931676464998467]|[10.52057159035867, 9.821973690685287, 9.519760451571129, 9.291780467735034, 4.352582958937409, 4.3317557540355045, 4.263127937421737, 4.082304943304213]|{'show_chunks': 3, 'show_questions': 4, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
может ли один курс быть в разных программах?|64d86acd-2cab-4504-9a61-08c6fb78d535|8c7d7aa7-5d9c-451e-92ab-de01d69a6e3b|[7.204695638486827, 7.065592757423153, 6.777889913457274, 6.738390328180648, 4.086471219088497, 2.9469085523359793]|[7.755514673379366, 7.637813337334456, 4.390091087264268, 4.086471219088497, 3.385897314808312]|{'show_chunks': 0, 'show_questions': 2, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
шаблон на 7 управленний доступен только после оплаты?|29df1860-5de5-4a4f-908c-1da2998c5721|a1e1a451-318e-4a66-8b19-5a79a9e27b6d|[6.799877700124457, 6.767154367802959, 6.683333800766024, 3.750244991094484, 3.138630086142379, 3.081953143599496, 3.004105546117673]|[4.0180059528086165, 3.750244991094484, 3.735048505248469, 3.727642321582276, 3.6322984400175105]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Забыл пароль. Как восстановить?|c69f6eca-d352-475a-9e22-ee5fd1c428e7|e004a99e-cb9d-4881-b650-29afdace13c1|[8.305114642095019, 8.240074870875716, 8.216514948365873, 7.883656728576366, 7.814254932065417, 5.247607766622242, 3.1726344184894297]|[5.38207215932294, 5.217621413213299, 5.1366178239599, 5.119698455260661, 4.752921385731986, 4.532642229338559, 4.464304286170541, 4.3718118571199165]|{'show_chunks': 5, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
Почему уволенный сотрудник отображается в структуре компании?|31078268-da49-4960-8270-658a87afd4c6|43b682c1-902e-4e26-bd96-510e4fe10dca|[8.553139306692385, 7.88606044821308, 7.643766340591546, 4.051352043157198, 3.50351542559584]|[9.454885690810782, 4.874800212254617, 4.764316673182719, 4.305825969055017, 3.9943332005239207]|{'show_chunks': 3, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
И как добавить к основной должности сотрудника дополнительные?|7b6fbbca-990c-4573-86c3-d618e9d85e0f|a37b97e2-e8a5-4d9c-86c6-af96b5c12141|[10.425834332807527, 9.615298190205792, 9.379276018344589, 8.657224376887658, 6.350016246703111, 4.06692289138811, 4.0359650203227]|[12.120689505700126, 6.350016246703111, 5.736169515867132, 5.551245622664091, 4.837735523709054, 4.445766265065828]|{'show_chunks': 3, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Подскажите, как из моего аккаунта можно удалить проект|27b907db-a2d7-45fe-9278-bc9e2005e2c6|f9fff15d-089e-4bed-b022-91fd87ef7690|[6.8352892176165385, 6.781002477128492, 6.4468669918713175, 6.335578804714573, 3.5300875756383117, 3.3977513198849434, 2.9594811898876903]|[7.785373875968345, 3.927140623390729, 3.7385695659798786, 3.5300875756383117, 3.301138156864319]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
А как-то можно интегрировать склад кассы aqsi, что бы данные автоматически сюда подтягивались|55b6b699-a484-4756-8f95-ba0026a4ce10|bfa54f80-9bfc-4b08-bcd0-aa6e5d768a87|[7.88021040160585, 7.416528886200508, 7.390311623631312, 6.9516708489133645, 6.460850867626199]|[8.297645123762303, 7.789977445712422, 7.067184142280379, 3.4813915924759584, 3.4021071825371156, 3.3701261656786285]|{'show_chunks': 1, 'show_questions': 3, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
кто из сотрудников может подавать заявку на расход|060fe14b-2bad-4f9a-b0ab-acce8d38d84d|0d8c6317-b8d1-4528-a525-ab4bb6976089|[9.059924570129889, 7.913224874435196, 7.0660270342807605, 6.975792364721821, 6.929654026715034, 5.300458717407866, 4.478890460409168]|[10.717162681994541, 5.300458717407866, 4.812801997500829, 4.478890460409168, 3.753874986407286, 3.659251853267133, 3.6398667561669966]|{'show_chunks': 2, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Почему периоды в финплане отображается со вторника, а не с понедельника|722d6703-c373-4050-826d-1c80d47f40ea|914284e3-3063-476e-ae4b-fd19478e4d3c|[6.43363048692709, 6.195343156910559, 6.116061714883371, 3.309032692869429, 2.9662409457620003, 2.927330484150534]|[6.669240328767015, 6.565954767231936, 3.3622679314472514, 3.309032692869429, 3.181926390095322]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
можно ли быстро перенести метрики от одного сотрудика к другому|2d9f5151-d915-405f-b670-3ab3529667f3|e29ce627-41ee-4b78-8b3a-7ccb5009d5e2|[9.86886412398837, 9.444636746781129, 8.54579596451014, 4.734461693669288, 4.326967749456395, 3.923610208130845]|[11.300386718442432, 9.967716763860636, 4.734461693669288, 4.662377567963762, 4.2910456235836945]|{'show_chunks': 3, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
И могут ли руководители, которым выданы метрики делегировать их своим подчиненным|a4667a1b-2de5-4e2f-adf9-095430e6597c|ff60eeb4-e163-45c8-9316-df6c32201c8a|[6.621353899417336, 6.184488937674739, 6.036467221761279, 5.990436134693231, 3.4059351670712816, 3.137105665079529, 3.0030908507863256]|[7.4380914981651625, 3.589842312798403, 3.4059351670712816, 3.354471744982653, 3.2643740200266973, 3.026597345244495, 2.9624253399673477]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Можно в Платруме создавать скрипты продаж, если да, то как это сделать|232f2242-0093-4cc5-954a-b87f332e9c76|c691f325-7023-4151-a4ed-0666a71785ea|[7.318544907082276, 6.92657928394625, 6.867387088855391, 3.7196616851954514, 3.5009682993979028, 3.4909877826364246, 3.3245929719758474]|[4.3173862046142455, 3.8422589452691835, 3.7529496189162153, 3.7196616851954514, 3.624479232208777, 3.4638105926782963]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
как мне можно скачать оргсхему|e2869984-fdd8-4bc8-91ff-6bddeffafcf3|cb476688-6a53-4f3c-85c7-1b6921768faf|[6.136977126949688, 5.868592528492808, 5.837813234270357, 3.3841557308831045, 3.1830480446808664, 2.768035141071127, 2.747328156647926, 2.6796739199705093]|[3.5025415385180665, 3.3841557308831045, 3.2224386557051, 3.1830480446808664, 3.15360728780859]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Какой типа шаблона оргструктур подходит для общепита лучше всего|7773b5d5-bdf8-4abf-bb24-f8bfeff714ac|56021109-4699-49f1-be5b-6b3ea2c029e0|[6.853785073999645, 6.468554695302933, 6.289785663174195, 6.125963804367991, 2.9267541960230186]|[7.891283414699817, 7.441966627588807, 7.258457161373168, 3.6292026672792774, 3.6071237680961246, 3.3505079018605595, 3.3005273752666264]|{'show_chunks': 0, 'show_questions': 3, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
как добавить сотрудника , не отправляя ему приглашения ?|b94c9e18-15d2-470c-93da-44393dae0acc|a37b97e2-e8a5-4d9c-86c6-af96b5c12141|[9.711955898304518, 8.862637752346116, 7.862147216377444, 7.717819428287765, 7.373635683538559, 3.710283591876271, 3.2931189480370304]|[12.009582774913774, 5.642208164432754, 4.73832802465921, 4.706663109432366, 4.109866283472766, 4.0023287972043935]|{'show_chunks': 2, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
