question;chunk_from_text;chunk_from_video;answer
Где могу посмотреть удаленные статьи на платрум?;score: 0.32864106, В этой статье (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525535)подробнее познакомимся с устройством редактора статей. Освоив его с помощью, вы сможете наполнить вашу базу знаний материалами. Или делегировать этот процесс ответственным, которых вы назначите в следующем шаге;score: 0.35260287, Добрый день! В этом видео обзорно рассмотрим работу с задачами в Platrum. И первая страница, на которую мы попадаем, когда переходим в раздел задач, это главная. На главной мы видим ежедневник, в котором мы можем поставить задачи на определенное время и работать с ним, как с обычным календарем задач. Здесь мы видим также очередь задач и различные панели задач, которые облегчают вам работу и администрирование задач. Здесь вы можете посмотреть те задачи, которые вы поручили своим подчиненным, а задачи, которые вы поручили, но подчиненные их никуда не запланировали, не поставили им сроки. Вы можете здесь посмотреть свои будущие планы и так далее.;
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?;score: 0.28425828, Чтобы за выделенным текстом была закреплена ссылка, нужно выбрать в меню “Ссылка” и появится поле для вставки ссылки.https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641264/original/y-FxwpgwBv9lopsOdmofXJ_Dx095Y8g-Tg.png?1646057736В это поле помимо ссылки можно также добавить идентификатор заголовка, чтобы сослаться на какую-то часть текст внутри статьи (якорная ссылка). Скопировать его можно, наведя в режиме редактирования на нужный заголовок:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641267/original/5pmxVSs_0J98LKtDbsvr6kfJbiqjDhk6Rw.png?1646057737Если ссылаться нужно на одну из уже созданных статей, конкретного сотрудника на структуре или отдел, это можно сделать с помощью операторов #, @, ^ соответственно.Например, мы хотим, чтобы при наведении на имя сотрудника показывался его профиль из структуры, для этого в нужном месте текста ставим знак @ и выбираем сотрудника из выпадающего списка:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641273/original/4E9uFqodrchxbmn4ZVXP5GQdRdQfWk4SFg.png?1646057738В другом регламенте нам нужно указать название отдела, чтобы при смене сотрудников на должности каждый раз не приходилось обновлять регламент. Для этого используем оператор ^:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641261/original/PHnA7p4Rbbv0WjsC35WnNAGiBZ0Bg7aSmg.png?1646057736По аналогии можно сослаться на одну из уже добавленных статей, поставив в нужном месте текста #:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641265/original/y8aDi1ncG6C9kn9q5vtdBGiLNWpfkJIDiw.png?1646057736;score: 0.33148217, Итак, давайте повторим, в ссылке на проверяемую страницу вы указываете какую-то ссылку в WEB сервиса, в котором вы планируете проводить проверку. Это может быть как ссылка на какую-то конкретную сущность, у которой есть свой идентификатор, так и ссылка просто на какую-то абстрактную страницу, в которой у вас выводится список, например, это может быть список звонков в вашей SIP-телефонии и, если у вас нету под каждый звонок какой-то отдельной страницы, вы все равно можете проводить проверку, указав в ссылку на проверяемую страницу ссылку на сам список звонков, а ваши сотрудники будут указывать уже порядковый номер или какой-то SIP-идентификатор каждого звонка при проверке, и вы сможете понимать, какой конкретно звонок проверялся, где конкретно были найдены те или иные нарушения. При указании ссылки вы можете использовать символ звездочка, который говорит о том, что вместо этой звездочки может быть любой набор и последовательность символов, такая ссылка все равно подойдет. То есть главное, чтобы та часть, которая у нас идет до звездочки, совпадала корректно. Если вам нужно работать с какой-то ссылкой на конкретную страницу, например, к конкретной сделке, конкретного звонка, конкретной задачи, не важно, то в такой странице всегда есть идентификатор. Он может находиться где-то в параметрах ссылки или прямо в самой ссылке. Это не важно, вы копируете эту ссылку, вставляете ее в данное поле и вместо идентификатора указываете данный набор символов ID в фигурных скобочках. В таком случае вы указываете системе, где ей искать идентификатор. Она автоматически распознает его из URL-адреса и подставит в панель проверки.;
Подскажите, пожалусйта, как удалить демо-данные по метрикам;score: 0.27556464, Если вам нужно передать метрику между должностями:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73026929150/original/00CVziXIASo2u4dj_CtWumxCXnqPe-HEow.png?1665136625Обратите внимание, что если у вас уже есть значения в метрике, то вставляемые значения заменят текущие, об этом будет предупреждение перед тем, как значения будут вставлены.;score: 0.24007644, Ну и для того, чтобы удалить метрику, нам достаточно просто открыть ее в режиме редактирования метрик на структуре и нажать на кнопку удаления. Итак, в этом видео мы с вами разобрали создание и администрирование метрик и работу с настройками.;
мы можем перенести влю базу знаний на другой аккаунт?;score: 0.2914788, Проверите, как удобно вести свою базу знаний для хранения и публикации информации внутри компании (На старте вам доступно создание до 20 статей).https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73014614135/original/fSFdKpGtP8QEAStaSUfkNBhWO1O5P1WySA.jpeg?1656602702;score: 0.28828812, Теперь перейдем к инструментам хранения знаний и регламентов, а также обучения сотрудников. А именно это разделы базы знаний и академии, которые работают в тесной связке. Сначала давайте рассмотрим базу знаний. Ну, во-первых, база знаний это редактор. Здесь вам доступны все стандартные функции для работы с текстом выделения курсивом, жирным, нумерованные и ненумерованные списки, таблицы, ссылки и так далее. Редактор имеет блочную структуру, что позволяет перемещать статьи любую ее часть без мучительных копирований, вставок и опасений, что где-то поедет верстка. Вы можете встроить статью в видео с ютуба или загрузить свое прямо в статью в проекте. Вы можете добавить iFrame и загрузить, например, Google презентацию, приложить какой-то файл. Можете очень удобно сослаться на другую статью, сотрудник или должность. В статье автоматически формируется оглавление, если вы пользуетесь заголовками. И, конечно, у каждой статьи есть истории версии, в которой вы легко в один клик можете восстановить необходимую вам версию. С документом также можно работать совместно с коллегами. Вы можете выдать своим коллегам доступ на комментирование данного документа и тогда они смогут оставлять свои комментарии, либо предлагать какие-то изменения. Документы вы можете организовать в любую структуру папок и разделов. Например, здесь у нас на верхнем уровне расположены департаменты, а внутри каждого департамента уже идет разбиение по отделу. В свою очередь внутри отдела идет разбиение по направлениям. И в продолжение к структуре хранения документов — система доступов, которая завязана на должности сотрудников. Однажды, потратив время на настройку доступов, вы создадите систему, в которой любой новый сотрудник при назначении на должность автоматически увидит все необходимые ему статьи. И более того, если вы добавите новый материал в папку, которая целиком назначена на должность, то сотрудник сразу увидит новый материал, вам не придется назначать его отдельно. Хотя, конечно, вы можете сделать тонкую настройку и скрыть какие-то статьи внутри доступной сотруднику папки. Давайте, например, к папке отдела найм и обучение выдадим доступ на просмотр всем сотрудникам этого отдела и на редактирование начальнику.;
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?;score: 0.26989943, Отчет, показывающий прибыль компании по месяцам с возможностью задавать процент, прироста прибыли. Как с ним работать подробно описанов статье (https://help.platrum.ru/ru-RU/support/solutions/articles/73000525796-План-по-месяцам).;score: 0.26125324, В этом видео рассмотрим работу с P&L отчетом в Platrum. P&L отчет или отчет о прибыли и убытках позволяет вам детально взглянуть на каждый этап в переходе от выручки к чистой прибыли. В отличие от DDS отчета, в котором выводится три фиксированных показателя, это доходы, расходы и прибыль. В P&L отчете вы можете создать произвольное количество групп и промежуточных этапов, на которых вы можете рассчитать различные показатели. Как в данном случае на демо примере мы с вами видим например валовую выручку, затем валовую прибыль, затем маржинальную прибыль, затем прибыль до налога и затем уже чистую прибыль. При желании этот путь от валовой выручки до чистой прибыли вы можете детализировать еще подробнее. В интернете большое количество материалов по работе с P&L отчетом и в рамках этого видео мы не будем с вами рассматривать в чем его польза, для чего он нужен и какие основные принципы его построения. Здесь мы рассматриваем непосредственно работу с P&L отчетом в Platrum, как технически его настроить и как он работает.;
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например;score: 0.25286764, Планы - инструмент понедельного планирования вашей работы и делегирования задач.С помощью данного инструмента вы сможете удобно планировать свою деятельность, а также контролировать задачи и цели ваших подчиненных.Часто в работе руководителя возникают ситуации, когда вы не до конца понимаете на чем конкретно сфокусирован тот или иной сотрудник в данный момент и сходится ли этот фокус с приоритетными для вас задачами. Как правило используются разные каналы постановки задач (таск-трекеры, корпоративный мессенджер, рабочие группы и личные встречи) и это неминуемо привносит бардак в управление процессами и препятствует достижению целей.Идея инструмента в том, что вы составляете и фиксируете планы на каждую рабочую неделю в одном месте. Здесь вы быстро можете составить план как себе, так и подчиненному, добавив в него самые важные на данный момент для вас задачи из очереди задач.При этом любую идею и задачу “на потом” вы никогда не потеряете, так как она всегда будет у вас перед глазами в очереди задач.https://www.youtube.com/embed/kKF0BKPyK_M?list=PLW1EmxdCk9RLu2aFkFcMXasRVUc9K6oDj;score: 0.224698, С помощью данного инструмента вы можете систематизировать постановку и приоритизацию задач вашим сотрудникам. Ведь часто такое бывает, что вы сообщаете сотруднику о какой-то задаче где-то в корпоративном мессенджере, о части задаче устно, о каких-то задачах по имейлу, и в итоге сотрудник путается, он не уверен в каком конкретно приоритете ему нужно брать те или иные задачи, и когда вы с ним встречаетесь для того, чтобы проконтролировать результат, часто возникают ситуации, при которой у вас расходятся ожидания. Сотрудник выполнил одни задачи, которые он считал приоритетными, а вы ожидали от него совсем другие. Инструмент планов полностью решает данную задачу. Не откладывайте на потом, попробуйте создать пару задач в Platrum уже сегодня и убедиться в том, насколько это удобный и гибкий инструмент.;
орг структуру внутри статьи нарисовать можно?;score: 0.31536013, Правильная структура в базе знаний это основа. Помимо наглядности она даст вам возможность легко распределить доступы и зоны ответственности внутри каждого раздела. Один раз организовав структуру внутри базы знаний вам больше не придется вспоминать об этом вопросе, так как система продолжит работать без вашего участия.Как добавить первый раздел, статью и задать правильную структуру для них, описано в инструкции. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525533)(https://help.platrum.ru/article/51-article);score: 0.31499213, К статье вы можете добавить обложку или картинку. Давайте с вами возьмем какую-нибудь статью, которой у нас еще нет ни обложки, ни картинки. В режиме редактирования в самом верху у нас есть две кнопки – добавить обложку и добавить картинку или эмоции. Соответственно, при добавлении обложки у нас сразу же добавляется обложка по умолчанию, нажимая на которую мы можем ее изменить и выбрать либо какой-то цветной фон из заданных. Фон может быть как градиентный, так и однотонный. Либо мы можем добавить сюда какую-то картинку, загрузить свою. Давайте сделаем вот такой фон. И сюда же мы можем добавить какую-то картинку или эмоции для того, чтобы статья стала чуть более живой и наглядной. Например, у нас здесь памятка по отпускам. Давайте поставим какую-то более подходящую картинку. Напомню, что содержание формируется автоматически, если вы используете типы блока с заголовком. Например, здесь мы с вами видим, что содержание сформировалось по заголовкам, которые были заданы внутри статьи.;
как сохранить работу над ошибками?;score: 0.28459013, Выбрав группировку по ошибкам, вы можете увидеть, какой пользователь и в каком курсе совершил ошибки:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73008950174/original/hBkaG0W1ZO-dxxsmqC6E7ObZKYQTd-ePDg.png?1651849164При нажатии на название курса вы увидите, в каких вопросах, какой сотрудник, сколько раз допустил ошибку.;score: 0.29662287, Естественно, перед повторением нам с вами нужно исправить ошибки. И снова сохраняем файл. Попробую его загрузить. Здесь окно непосредственно то, как я выбираю файл у себя на компьютере, я не показываю. В целом это совершенно стандартный интерфейс, который, соответственно, в вашей операционной системе показывается вам всякий раз, когда вы где-то загружаете какой-то файл с вашего компьютера в какой-то сторонний ресурс.;
В карточку задачи скриншот по принципу ctrl+v вставить не получится?;score: 0.3086462, По нажатию на задачу откроется карточка с информацией по ней, там представлена минимально необходимая информация по задаче. Более детальная работа с задачей ведется в расширенной карточке. Ее можно открыть по клику на карандаш.https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003643186/original/BGc6eNbXoYRwc6fppSql95b-VRHearcJ8w.png?1646059011Если вы хотите, чтобы расширенная карточка открывалась сразу, вы можете выбрать этот вариант при первом открытии, когда предлагает системаhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003643144/original/HOnENONUf2WLsSLf5SXWH36TktH0q3l56g.png?1646058992Позже вы можете изменить эту настройку в общих настройках проекта, если потребуетсяhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003643163/original/Y-4vKgOkoGcqnwH_w8Kl8W4iI7x2D93axA.png?1646059006;score: 0.29569787, Если вы все-таки каким-то образом зачем-то вам нужно делать, работать с досками, вы там как-то видите общую картину, что позволяет этот инструмент? Здесь в настройках можно вывести панельку с любой доски, которая у вас находится в избранном. Здесь специально именно сделано ограничение на только избранные доски, потому что если бы отображались бы все-все-все доски, то например у меня было бы тут сотни, да, я бы не смог просто менеджерить. А так у меня, например, вот в данном проекте вот словно есть доска стратегической задачи, вот она у меня в экране здесь вот влезает, и предположим там есть наши панельки, и я вот любую задачу могу себе поставить также в план. Хоп, хоп, вот они у меня там накидываются. Все очень удобно. Видите, они голубенькие, потому что они добавлены после того, как там мой руководитель, ну я здесь сам у себя руководитель, утвердил, поэтому они отображают другого цвета.Что здесь, какие здесь еще есть плюшки? Во-первых, вы можете видеть задачи подчиненных, то есть, которые стоят в планах, и например, руководитель может себе ставить задачи из планов других своих сотрудников. Чем, почему это удобно, например, у сотрудника стоит задача сделать какой-нибудь регламент. Очевидно, что руководитель все равно будет его перечитывать, корректировать с сотрудником как этот регламент нужно писать, и вместо того, чтобы дублировать бесконечно, он себе также задачу в этот план ставит, и всем удобно, то есть, не надо десять раз повторять эту задачу, переписывать, то есть, очень удобно работать. То же самое с аудитом задачи, то есть, если вы хотите какие-то задачи дополнительно видеть в этом интерфейсе, вы какие-то задачи можете ставить там, что себя аудитором, или просить, чтобы вас поставили аудитором, потом все можете эти задачи накидывать в план. Есть такие ситуации, когда у руководителя план состоит, в принципе, из задач его подчиненных, он просто там, условно, помогает им, контролирует, добивается того, чтобы действительно работало. Будет странно, если будут все такие задачи, но когда это, условно, половина, это нормально, опять же, зависит от себя.;
почему я не вижу доступных курсов в разделе Академия?;score: 0.27672988, К разделу отчеты имеют доступ только:- Администратор проекта- Тренер - ему доступна информация только по тем курсам, в которых он назначен тренером- Администратор академии;score: 0.2873556, Ну и теперь давайте перейдем к Академии. Академия позволит вам ускорить процесс ввода в должность новых сотрудников и упростить обучение контроль знаний у текущих. На основе статей базы знаний с заранее созданными вопросами вы можете буквально в два клика создать обучающий курс. Курс может содержать шаги как с вопросами теста, так и экзамен с открытыми вопросами тренером. Соответственно, тренер будет проверять каждый написанный экзамен и давать обратную связь сотрудникам. У тренера есть свой наглядный интерфейс, в котором он может посмотреть ответы сотрудника в экзамене и обозначить, верные они были или неверные. В случае, если ответ был неверный, то дать какой-то развернутый комментарий. Для критичных и особо важных курсов вы можете настроить срок на прохождение, после которого у сотрудника будет заблокирован рабочий стол, если он не пройдет этот курс. Ну, это нужно для каких-то курсов по основополагающим документам, без которых нельзя сотрудника допускать к работе. Помимо этого, вы можете включить автоматический контроль знаний, который периодически будет создавать курс, состоящий из вопросов по ранее пройденным материалам сотрудникам, причем набор вопросов для каждого сотрудника будет уникальным, он формируется случайным образом из тех вопросов, на которые сотрудник когда-то уже ответил. Это нужно для того, чтобы поддерживать тонусе наших старых сотрудников, которые когда-то давно проходили обучающие курсы, читали материалы и, возможно, какие-то вещи уже забыли. Конечно, есть и отчет, где вы можете увидеть статус прохождения курсов по разным сотрудникам и срезам. И важнейшей опцией является следующая механика. При добавлении вопросов статью, которая уже используется в каком-то курсе, курс автоматически будет изменен. У него будет обновлен прогресс и все участники, которые ранее его даже уже прошли, получат уведомление о том, что был добавлен новый материал и вам нужно вернуться к курсу для того, чтобы его допройти. Таким сотрудникам нужно будет ответить только на новый добавленный вопрос, для этого им придется ознакомиться с новым материалом, который вы добавили. Им не придется перепроходить весь курс заново.;
можно ли секции в оргсхеме менять местами?;score: 0.33947042, Перемещать категории и статьи местами можно, зажав пиктограмму в виде трех полос и перетаскивая статью в другое место.https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003640956/original/MRn3EmBP2mnWs6BMx9DS-TCxYMggR7L_AA.png?1646057547Таким образом можно перемещать статью можно внутри родительской подкатегории.Если требуется переместить статью в другую категорию или раздел, нужно нажать на кнопку “Изменить расположение” (пиктограмма “карандаша” над названием статьи) и выбрать в выпадающем окне нужный вам раздел или категорию:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003640965/original/9v_8gTcYky_xVeLn1SDTvRfRsi-QRmVvlQ.png?1646057550;score: 0.28439677, Единственное, что мы с вами не проговорили в рассмотрении какой-то базовой настройки, это возможность поменять отделы местами. Вот например мы с вами создали два отдела, это бухгалтерия и финансовый отдел. И мы хотим поменять их местами. Давайте с вами перейдем в настройки отдела бухгалтерии. Здесь мы видим значение в поле сортировка 10. Если мы откроем финансовый отдел, то здесь мы увидим значение в поле сортировка 20. Так вот для того, чтобы поменять эти отделы местами, нужно поменять значение в этих полях. Отделы выстраиваются согласно полю сортировка по возрастанию. То есть сначала у нас идет 10, потом 20, следующий будет 30, 40 и так далее. Вам не обязательно здесь запоминать именно 10, 20 и так далее. Вам достаточно просто посмотреть, что у первого отдела у вас значение 10. Вы хотите другой отдел разместить перед этим. Мы идем в настройки этого отдела и делаем у него сортировку например 5. Неважно какое конкретное значение, главное чтобы меньше 10 было в данном случае. И вот мы видим с вами, что порядок отделов поменялся. Абсолютно то же самое для управления вложенными подразделениями внутри отдела, которые у нас выводятся уже в едином блоке. То есть если здесь мы будем менять сортировку у данных секторов, то они будут располагаться по списку сверху вниз также согласно этой сортировке.;
можно как-то, чтоб метрики не удалять, а в архив отправлять?;score: 0.2503464, Если вам нужно передать метрику между должностями:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73026929150/original/00CVziXIASo2u4dj_CtWumxCXnqPe-HEow.png?1665136625Обратите внимание, что если у вас уже есть значения в метрике, то вставляемые значения заменят текущие, об этом будет предупреждение перед тем, как значения будут вставлены.;score: 0.24455658, Давайте теперь посмотрим, как у нас будет выглядеть рабочий стол предыдущего сотрудника Волкова Никиты. Мы видим, что у Волкова Никиты теперь недоступно ни одной метрики, потому что он занимал у нас одну должность, к которой была привязана какая-то метрика. Но он же до этого ввел какую-то метрику, мы же не потеряли его значение. Нет, конечно, его значение мы не потеряли. Мы можем с вами включить специальный переключатель, который показывает архивные значения. По умолчанию он выключен просто потому, что если сотрудник уже не занимает данную должность, то, скорее всего, эти метрики сейчас для него не актуальны и на ежедневной основе они не должны постоянно выводиться на рабочем столе и отвлекать внимание. И вот мы видим, что в архивных метриках у данного сотрудника выводится метрика, которую он когда-то ввел. Изменить ее никак, естественно, нельзя, то есть это уже все, это исторические данные.;
может ли один курс быть в разных программах?;"score: 0.29488176, Программы обучения предназначены для систематизации прохождения курсов подчиненными.https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023387999/original/y8ObPTEilN5DdAgXarLOiCKM_pwROo899A.png?1662561281Например, вам необходимо, чтобы сотрудники проходили курсы в четкой последовательности - вы сможете настроить прохождение программы таким образом, чтобы сотрудники не смог приступить к следующему курсу, пока не будет пройден предыдущий.Или ваши курсы разбиты по разным темам, и вам необходимо рассортировать курсы по темам, например, ""Продажи"", ""Продвижение"" и т.д - в этом вам так же помогут программы обучения.";score: 0.33949935, Ну, давайте здесь подчеркнем основную мысль. Вы задаете структуру документов в базе знаний согласно вашей структуре компании. Конечно, если нужно какие-то документы показывать всем сотрудникам, вы просто всегда можете создать отдельный раздел, который называется «Для всех сотрудников», и он будет объединять документы, которые видят все. Дальше в каждый раздел, в каждую папку и категорию вы выдаете правильный доступ на редактирование и просмотр, например, в каждом отделе начальник может редактировать и просматривать только сотрудники этого отдела. В каждом направлении, в каком-то более маленьком подразделении редактировать документы может, соответственно, руководитель этого направления. Дальше вы на основе этих, так скажем, должностных папок создаете обучающие курсы, и если вы при создании курса добавили не просто несколько статей по одной, а сразу всю категорию, относящуюся к должности, то при добавлении новых материалов в эту категорию эти статьи сразу будут попадать в курс. И далее, если вы включаете настройку, запрещающую вносить значительные изменения в документы и добавление вопросов, то вы создаете самоподдерживающуюся систему, которая растет и масштабируется вместе с вашими процессами. Вам не придется постоянно администрировать Академию. Вы создали обучающий курс, дальше количество материалов в папке растет, количество вопросов растет, все это сразу попадает в курс. Курс постоянно обновляется при любом изменении ваших боевых регламентов и материалов. Никто в вашей компании не будет проходить какие-то неактуальные устаревшие курсы, не будет такой ситуации, что вы внесли серьезные дополнения в регламент, например, после разбора какого-то инцидента. Какие-то из ваших сотрудников продолжают работу по старым скриптам, по старым методологиям, просто потому что они не видели, не знали этого изменения в регламенте. Ну и, наверное, последнее, о чем стоит рассказать, это автоматический контроль знаний. Это дополнительный инструмент в Академии, который позволяет включить автоматическое создание курса с определенной периодичностью. Вот мы с вами видим настройки. Мы можем задать настройку, например, чтобы этот курс создавался раз в 30 дней. Мы можем задать максимальное количество вопросов в этом курсе. А что это такое? Вот эти автоматические курсы контроля знаний, они состоят только из вопросов, и эти вопросы формируются случайным образом из уже пройденных сотрудникам курсов. То есть, если ваш какой-то старый сотрудник прошел все необходимые ему курсы, например, два года назад, то для поддержания тонуса и актуальности его знаний вы можете включить вот такой автоматический контроль знаний, указать здесь, например, максимальное количество вопросов в 4, чтобы сильно не отвлекать сотрудника от его работы и не прерывать его процессы. Вы можете исключить какие-то конкретные отделы, в которых вообще не должны касаться эти автоматические курсы. Понятно, вы можете добавить какую-то обложку, чтобы просто эти курсы покрасивее выглядели в списке. С этого момента раз в 30 дней для всех сотрудников, которые когда-либо проходили курсы, то есть, например, если у вас генеральный директор никакие курсы не проходит и в принципе Академии не касается, то его этот автоматический контроль знаний беспокоить не будет. Но если у сотрудника есть пройденный курс и он не исключен из участвующих в контроле, то ему периодически будет создаваться курс, который состоит из случайного набора вопросов из уже пройденных курсов.;
